country,ID,Year,Health Expenditure,GDP,Suicide Rate
Avusturya ,AUS,2009,3421.883,41636.49607,10.7
Avusturya ,AUS,2010,3595.14,42809.92706,10.9
Avusturya ,AUS,2011,3809.112,44429.55951,10.7
Avusturya ,AUS,2012,3854.19,43883.37889,11.4
Avusturya ,AUS,2013,4092.619,47761.90126,11.3
Avusturya ,AUS,2014,4190.269,47603.88088,12.5
Avusturya ,AUS,2015,4383.645,47232.62912,13.1
Avusturya ,AUS,2016,4624.966,50150.6522,12.1
Avusturya ,AUS,2017,4659.025,50699.17511,13
Avustralya ,AUT,2009,4097.535,40927.13469,14.1
Avustralya ,AUT,2010,4261.055,42021.15421,13.9
Avustralya ,AUT,2011,4345.16,44469.20964,14.1
Avustralya ,AUT,2012,4588.344,46477.65508,13.7
Avustralya ,AUT,2013,4767.085,47936.67796,13.6
Avustralya ,AUT,2014,4858.33,48813.53441,13.9
Avustralya ,AUT,2015,4943.515,49942.05629,12.9
Avustralya ,AUT,2016,5195.531,52665.08746,12.2
Avustralya ,AUT,2017,5315.353,54188.36067,12.4
Belçika ,BEL,2009,3729.954,37751.24509,17.9
Belçika ,BEL,2010,3922.228,39838.57016,17.8
Belçika ,BEL,2011,4065.113,40943.34348,18.1
Belçika ,BEL,2012,4243.908,42290.47767,17.4
Belçika ,BEL,2013,4435.931,43672.71229,16.2
Belçika ,BEL,2014,4588.226,44929.93333,16.1
Belçika ,BEL,2015,4654.247,46201.68589,15.8
Belçika ,BEL,2016,5003.902,48599.20268,15.9
Belçika ,BEL,2017,5136.174,50442.94752,16.9
Kanada ,CAN,2009,3949.841,38865.40602,11.1
Kanada ,CAN,2010,4155.309,40099.49789,11.1
Kanada ,CAN,2011,4225.996,41666.71885,10.8
Kanada ,CAN,2012,4332.806,42290.87908,10.8
Kanada ,CAN,2013,4424.688,44298.51446,11.1
Kanada ,CAN,2014,4532.59,45753.78294,11.5
Kanada ,CAN,2015,4630.79,44670.05437,11.8
Kanada ,CAN,2016,5039.601,46472.36877,10.6
Kanada ,CAN,2017,5138.19,48316.71653,11
?sviçre ,CHE,2009,5068.296,53111.53036,13.4
?sviçre ,CHE,2010,5091.676,54767.96782,11.9
?sviçre ,CHE,2011,5259.578,57987.48686,12.1
?sviçre ,CHE,2012,5565.319,59933.61706,12
?sviçre ,CHE,2013,5923.911,62225.11235,12.2
?sviçre ,CHE,2014,6158.682,64103.00976,11.4
?sviçre ,CHE,2015,6465.885,66020.20952,11.9
?sviçre ,CHE,2016,6808.027,68105.13818,11.1
?sviçre ,CHE,2017,6866.474,69103.56769,11.3
Çekya ,CZE,2009,2052.446,27635.67173,13.2
Çekya ,CZE,2010,2002.927,27768.4032,13.5
