,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
0,496.46033,851.241,247.23561,15.316669,27.585535,57.704506
1,483.9251,793.0458,237.38081,15.341194,27.722029,57.686226
2,469.21643,770.1943,220.134,15.445347,27.794052,57.60608
3,436.6421,780.87006,259.45886,15.611607,27.66688,57.505016
4,504.04263,882.77765,323.6317,15.645108,27.76785,57.537613
5,495.39102,880.12036,332.4315,15.488338,27.874048,57.641953
6,484.8093,845.6782,320.07938,15.340052,28.08642,57.72541
7,461.49472,801.62585,292.42343,15.412766,28.320368,57.628906
8,458.98254,780.2439,301.3127,15.53014,28.376905,57.54584
9,482.75946,802.9718,310.44894,15.639887,28.01431,57.48745
10,490.27234,811.84546,348.13364,15.692067,27.955198,57.496075
11,493.30725,816.6422,367.25363,15.608028,28.060696,57.478123
12,498.54794,806.64795,356.14914,15.479256,28.140219,57.56179
13,486.7478,802.7911,370.5383,15.467314,28.110373,57.431076
14,492.315,803.89026,387.4782,15.488741,28.078928,57.385067
15,508.68097,805.39087,407.2553,15.441754,28.054022,57.363663
16,519.95465,806.62854,432.40216,15.331591,28.004229,57.337772
17,526.7089,816.2246,461.38773,15.185175,27.924173,57.26815
18,529.539,805.21204,501.15204,15.047975,27.894003,57.21297
19,539.5036,805.52344,505.95474,14.933361,27.812233,57.11811
20,546.8261,813.13763,538.875,14.885351,27.78868,57.056915
21,552.844,807.08875,577.3228,14.802696,27.591974,56.968193
22,576.99536,829.11633,622.4123,14.664863,27.445347,56.907448
23,596.4956,829.43054,660.6322,14.547344,27.362959,56.910522
24,609.26324,828.5241,705.6732,14.42828,27.244076,56.88945
25,627.8139,839.0963,752.2201,14.302372,27.121172,56.929737
26,634.7523,831.22925,782.5066,14.265203,27.062496,56.94044
27,654.0956,839.47656,852.73334,14.202871,27.0449,57.060326
28,671.9747,842.0782,905.3434,14.136015,27.030117,57.151894
29,694.34155,853.3857,935.44794,14.103513,26.98385,57.409386
30,720.2714,858.63684,1003.94104,14.053738,26.996576,57.666805
31,732.57715,878.96405,1056.3992,14.070974,27.01536,57.96487
32,747.16504,884.61487,1131.6694,14.044279,27.094957,58.26223
33,765.94073,878.3854,1169.3899,14.088301,27.119791,58.65259
34,795.63025,914.08923,1227.2781,14.058833,27.180115,59.185
35,828.8783,926.91876,1284.9572,14.083292,27.351767,59.64293
36,840.3237,917.9895,1333.6565,14.114355,27.375706,60.25573
37,803.1849,959.31976,1372.6106,14.128681,27.467184,60.72438
38,791.8505,999.78613,1411.8627,14.20631,27.491907,61.034485
39,818.36346,1050.4702,1540.8499,14.224174,27.540794,61.3491
40,866.18207,1077.5906,1597.1953,14.226412,27.558966,61.7297
41,907.0386,1061.989,1692.3258,14.216362,27.595877,62.047398
42,916.0415,1089.148,1772.4395,14.171312,27.580187,62.399708
43,901.4124,1103.602,1814.4878,14.235506,27.606794,62.874077
44,903.0982,1135.0027,1861.3564,14.241961,27.710632,63.050274
45,949.68414,1184.8796,1974.4609,14.245318,27.642252,63.241596
46,996.5175,1183.333,2190.9138,14.164428,27.58877,63.772503
47,1060.6406,1248.8544,2332.8289,14.060133,27.626879,64.13465
48,1070.4285,1281.0154,2377.7522,14.063197,27.520536,64.21637
49,1077.9673,1300.3372,2576.7222,14.071363,27.50862,64.76767
50,1078.0206,1316.4236,2667.5789,14.048592,27.584356,64.98875
51,1116.6229,1306.4773,2796.657,14.044156,27.42974,65.19795
52,1145.7393,1367.6394,2946.8342,14.025335,27.467138,65.37141
53,1178.2029,1351.4993,3125.0085,14.012716,27.36178,65.47921
