,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
0,492.42795,308.2025,301.28918,14.563965,27.539936,58.017548
1,452.52353,281.34445,276.8483,14.57768,27.783512,57.67796
2,457.88577,275.48596,260.26294,14.754188,27.786312,57.852802
3,431.5408,290.6264,309.0136,14.924172,27.723774,57.87093
4,497.06747,323.64655,375.8778,15.06086,27.476976,57.928196
5,525.1451,320.99213,400.58273,14.534625,27.53415,57.868225
6,505.3928,315.963,390.9009,14.412644,27.589798,57.854317
7,475.77036,301.32242,364.83167,14.58187,27.89141,57.793545
8,441.5804,287.1322,361.60382,14.87286,28.12748,57.797173
9,458.15738,290.39185,375.15002,14.988843,27.961807,57.79274
10,463.7045,298.9882,402.75763,14.99376,27.844112,57.82741
11,490.51028,298.91113,423.45868,14.887076,27.792984,57.781097
12,507.9424,302.4257,448.4959,14.754558,27.767754,57.66077
13,503.43155,301.26,450.17667,14.623927,27.74643,57.6858
14,503.60797,297.38037,472.67776,14.612824,27.655394,57.546093
15,509.0228,300.94247,471.88773,14.606177,27.591255,57.58291
16,520.3656,301.01434,496.55612,14.527141,27.489046,57.49848
17,546.46857,301.8001,533.3642,14.415313,27.382463,57.42821
18,553.7717,303.27216,558.51373,14.279307,27.262728,57.310196
19,569.5786,299.26706,584.18,14.222819,27.154484,57.195324
20,578.2394,313.87723,614.9113,14.148763,26.923302,57.086082
21,591.97736,297.88672,653.44543,14.07829,26.882328,57.01214
22,610.5615,305.1237,697.64355,14.013355,26.699003,56.876293
23,631.7544,304.41455,738.72455,13.941206,26.598167,56.831875
24,650.3756,302.25452,773.4059,13.866022,26.44468,56.78267
25,666.5166,301.21375,797.7203,13.8196125,26.314137,56.738
26,675.79016,305.0603,812.92957,13.8106365,26.26293,56.769463
27,693.8738,302.1988,899.71216,13.800211,26.177504,56.79941
28,708.01935,305.49695,931.9371,13.801288,26.128983,56.947327
29,739.59436,311.32166,980.0269,13.770862,26.170082,57.10676
30,761.04584,308.06415,1032.0328,13.776339,26.123177,57.342865
31,777.223,320.1784,1073.6909,13.798862,26.229513,57.557343
32,783.552,311.17316,1191.105,13.8290615,26.248575,57.839626
33,811.6538,323.37317,1210.2375,13.864399,26.313484,58.197796
34,841.36743,334.58942,1242.9161,13.854607,26.436981,58.65081
35,901.731,335.03616,1340.6558,13.910448,26.442738,59.090946
36,900.1056,346.8725,1399.8058,13.892907,26.54265,59.55626
37,916.146,343.80627,1436.2618,13.956922,26.563751,59.98033
38,915.27136,344.74036,1459.1426,13.97726,26.634315,60.36666
39,927.2439,369.42633,1534.7147,13.993754,26.706366,60.652943
40,943.12177,389.6684,1645.2357,14.036958,26.611267,61.101875
41,980.8324,406.87036,1712.923,14.017198,26.783487,61.366295
42,1007.079,403.41208,1775.0424,13.946595,26.810406,61.674294
43,992.52686,413.82642,1811.0544,14.018273,26.736607,61.90625
44,994.344,401.5274,1888.7931,14.056849,26.714302,62.307182
45,1035.0403,429.80475,2028.0107,13.995139,26.66748,62.575554
46,1075.9547,447.54886,2147.0737,13.990957,26.682667,63.078785
47,1135.2136,451.22195,2269.7092,13.92396,26.697304,63.250687
48,1177.3162,456.48285,2431.4465,13.893415,26.719656,63.651604
49,1188.0952,463.4509,2514.3696,13.910152,26.753529,63.924347
50,1183.6093,485.54507,2652.5354,13.870522,26.683338,64.186905
51,1228.8833,483.62366,2781.7278,13.906624,26.588608,64.455124
52,1253.1187,507.46832,2924.2437,13.876211,26.63985,64.73363
53,1307.1978,520.473,3117.7588,13.869742,26.498259,64.85736
54,1326.5103,541.78436,3190.364,13.867838,26.607985,65.248184
55,1330.8192,545.91455,3328.0464,13.860358,26.52639,65.25426
56,1395.5264,551.843,3478.7327,13.911575,26.495401,65.24878
57,1398.0874,561.311,3550.778,13.955294,26.545746,65.27882
58,1468.7833,556.5709,3666.4841,13.956291,26.463722,65.39009
59,1420.2435,576.0969,3833.152,13.946901,26.475534,65.44818
60,1483.0529,590.8258,3928.2764,14.006439,26.52787,65.52763
61,1534.304,613.9935,4080.6914,14.0510435,26.52049,65.506676
62,1577.426,627.94824,4120.6562,14.072342,26.486422,65.61616
63,1611.4282,622.491,4317.648,14.133716,26.597095,65.49363
64,1600.262,634.22595,4374.4775,14.119634,26.641754,65.5811
65,1647.4492,628.1398,4464.0586,14.160773,26.628708,65.55366
66,1676.5054,634.7884,4438.509,14.166627,26.603874,65.62204
67,1670.2773,638.25464,4588.883,14.217592,26.775108,65.654236
68,1642.7292,668.3978,4582.491,14.21956,26.76432,65.702644
69,1719.3821,673.39453,4700.0464,14.234483,26.637917,65.763145
70,1759.5557,666.74243,5030.5557,14.346658,26.73777,65.65508
71,1790.0305,693.6761,4978.038,14.389635,26.753668,65.834694
72,1837.993,686.0213,5012.9443,14.362464,26.842495,65.89992
73,1796.2849,707.4009,5215.714,14.404461,26.831049,65.8694
74,1827.644,698.8804,5198.3633,14.444167,26.703476,65.94682
75,1873.9316,700.06506,5167.5933,14.4113655,26.819777,65.984116
76,1884.8325,722.18146,5336.0938,14.431388,26.908949,66.00401
77,1893.2744,725.32776,5548.932,14.494718,26.880617,65.95316
78,1953.9498,718.79144,5579.7524,14.480338,26.896309,65.99664
79,1943.3518,711.4783,5168.126,14.444225,26.886503,66.1442
80,1964.2407,722.30756,5378.566,14.554744,26.971817,66.139694
81,1931.3682,726.40155,5598.3022,14.558778,26.937283,66.06215
82,2004.0244,737.32513,5580.9736,14.550319,27.000603,66.15905
83,1952.6956,744.3988,5772.8213,14.563233,27.06886,66.20399
84,1990.7687,742.19165,6190.1562,14.599877,27.138859,66.180565
85,1999.5614,732.75574,5823.161,14.5826,26.919722,66.23721
86,2001.734,748.97766,5505.828,14.596496,27.001318,66.27353
87,2033.2424,750.11975,5588.345,14.595311,27.065811,66.28946
88,1997.2751,766.42645,5717.401,14.6375265,27.102837,66.23392
89,2020.9685,745.5543,5705.416,14.586037,27.013287,66.26387
90,1989.292,759.8719,6226.2026,14.622524,27.051487,66.3038
91,1995.4563,758.89105,5935.4707,14.627939,27.059002,66.3313
92,2115.946,773.56494,6020.7656,14.629698,27.075113,66.401505
93,2067.4495,785.4121,6294.106,14.662364,27.084011,66.37221
94,2121.0637,773.6679,6375.9033,14.689282,27.012161,66.45419
95,2092.238,804.37915,6437.134,14.617887,27.150232,66.485245
