,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
0,534.73444,447.3748,298.37274,14.717917,27.209991,56.52159
1,487.1736,407.08032,265.65167,14.842829,27.315123,56.345734
2,501.928,382.31287,259.79993,14.930194,27.392347,56.37787
3,489.03604,411.37732,333.19235,15.1670685,27.24911,56.39526
4,550.34607,444.139,379.45474,15.038549,27.455244,56.373474
5,552.2525,428.40567,396.0584,14.591895,27.57734,56.3536
6,518.3017,413.4759,365.20697,14.636587,27.74423,56.30799
7,506.59225,395.22574,346.5202,14.891144,27.852112,56.28657
8,497.73868,374.40015,361.08295,15.0331,27.872814,56.2492
9,532.6291,390.07968,382.489,15.1798725,27.684645,56.234833
10,554.09357,394.211,413.51132,15.050911,27.67354,56.204597
11,558.8427,391.0796,427.889,14.980587,27.77099,56.165703
12,556.68835,388.74008,429.31424,14.852018,27.816814,56.09372
13,546.3409,373.5612,435.39435,14.788279,27.777,56.014603
14,554.96027,375.54254,448.13336,14.779584,27.832335,55.949547
15,577.3798,378.06033,475.04227,14.795813,27.766912,55.89257
16,582.12787,380.54883,508.284,14.623387,27.751049,55.80493
17,595.6526,376.93674,524.3405,14.494085,27.70019,55.680603
18,593.73004,381.82367,537.7339,14.424774,27.63185,55.64878
19,612.7614,379.99683,574.78186,14.345983,27.523703,55.59507
20,628.16785,373.24194,634.0025,14.222803,27.503107,55.60913
21,631.4899,371.26,628.56226,14.147573,27.407724,55.527275
22,658.8265,369.4125,677.5457,14.041479,27.365164,55.53367
23,680.10565,379.08344,700.84845,13.969563,27.171125,55.57969
24,694.4017,372.09705,737.50385,13.840695,27.197977,55.644676
25,717.82526,373.13867,783.9127,13.79312,27.100544,55.84574
26,728.972,379.6314,796.7999,13.737237,27.026506,55.96902
27,745.46,385.62784,852.96045,13.694532,27.010225,56.20906
28,767.87256,389.31622,895.4408,13.6567745,27.028313,56.46489
29,780.4103,393.02606,937.2304,13.6225605,27.008064,56.791687
30,808.9327,401.65286,993.2145,13.630986,27.096834,57.20878
31,852.8304,400.12265,1076.3708,13.598479,27.149061,57.6914
32,863.2242,411.7975,1087.1552,13.618992,27.170778,58.214752
33,850.85535,428.2027,1127.4083,13.636948,27.312094,58.695824
34,872.5363,446.63953,1202.254,13.680911,27.440582,59.149857
35,896.34503,449.50427,1215.5199,13.724721,27.484945,59.429165
36,928.38824,437.1185,1302.7637,13.773677,27.51733,60.100792
37,945.0129,442.9541,1365.7557,13.772934,27.641611,60.553123
38,923.3535,447.18225,1446.2635,13.845471,27.572996,61.005165
